EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
116985,1716296,OTHER,COOKIE CRUSH,,1613 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2022/10/31 04:00:00+00,97,,COOKIE CRUSH,,11072
116566,1705222,REGULAR,YUMMI YUMMI SUSHI RESTAURANT,,7131 SOUTHSIDE DR,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/09/30 04:00:00+00,96,A,YUMMI YUMMI SUSHI RESTAURANT,,11073
116822,1719038,REGULAR,THORNTONS #169,,7101 GREENRIDGE FARM DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/11/23 05:00:00+00,98,,THORNTONS #169,,11074
117513,1732135,OTHER,RACETRAC,,8000 AIR COMMERCE DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/12/16 05:00:00+00,99,,RACETRAC,,11075
116985,1720379,REGULAR,COOKIE CRUSH,,1613 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2022/11/30 05:00:00+00,98,A,COOKIE CRUSH,,11076
117032,1720376,REGULAR,HOME RUN BURGERS,,5608 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2022/12/01 05:00:00+00,94,A,HOME RUN BURGERS,,11077
116566,1703411,OTHER,YUMMI YUMMI SUSHI RESTAURANT,,7131 SOUTHSIDE DR,,LOUISVILLE,KY,40214,FOOD SERVICE,2022/08/26 04:00:00+00,100,,YUMMI YUMMI SUSHI RESTAURANT,,11078
117032,1718081,OTHER,HOME RUN BURGERS,,5608 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2022/11/01 04:00:00+00,100,,HOME RUN BURGERS,,11079
116823,1710919,OTHER,SNOW FRUIT @ KROGER L-387,,291 N HUBBARDS LN,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/09/26 04:00:00+00,100,,SNOW FRUIT @ KROGER L-387,,11080
117513,1732134,OTHER,RACETRAC,,8000 AIR COMMERCE DR,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/12/16 05:00:00+00,99,,RACETRAC,,11081
116567,1703429,OTHER,SUBWAY #25062,,5000 SHELBYVILLE RD STE 1675,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/09/06 04:00:00+00,99,,SUBWAY #25062,,11082
117034,1720015,REGULAR,7 STAR FOOD MART,,2121 CRUMS LN,,LOUISVILLE,KY,40216,PRE-PACKAGED RETAIL,2022/11/30 05:00:00+00,98,,7 STAR FOOD MART,,11083
116823,1721507,REGULAR,SNOW FRUIT @ KROGER L-387,,291 N HUBBARDS LN,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/12/06 05:00:00+00,100,A,SNOW FRUIT @ KROGER L-387,,11084
117516,1732975,REGULAR,PLAYA BOWLS,,4600 SHELBYVILLE RD STE 645,,LOUISVILLE,KY,40207,FOOD SERVICE,2023/02/02 05:00:00+00,100,A,PLAYA BOWLS,,11085
116567,1704062,REGULAR,SUBWAY #25062,,5000 SHELBYVILLE RD STE 1675,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/09/26 04:00:00+00,98,A,SUBWAY #25062,,11086
117034,1718087,OTHER,7 STAR FOOD MART,,2121 CRUMS LN,,LOUISVILLE,KY,40216,PRE-PACKAGED RETAIL,2022/11/02 04:00:00+00,98,,7 STAR FOOD MART,,11087
116824,1710922,OTHER,SNOW FRUIT @ KROGER L-356,,12501 SHELBYVILLE RD,,LOUISVILLE,KY,40243,FOOD SERVICE,2022/09/27 04:00:00+00,100,,SNOW FRUIT @ KROGER L-356,,11088
117516,1732234,OTHER,PLAYA BOWLS,,4600 SHELBYVILLE RD STE 645,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/12/22 05:00:00+00,100,,PLAYA BOWLS,,11089
116568,1703437,OTHER,WILKERSON ELEMENTARY SCHOOL,,5601 JOHNSONTOWN RD,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,2022/09/07 04:00:00+00,100,,WILKERSON ELEMENTARY SCHOOL,,11090
117039,1721986,REGULAR,CHEF PREP MEALS COMMISSARY,,4714 PINEWOOD RD,,LOUISVILLE,KY,40218,FOOD SERVICE COMMISSARY,2022/12/07 05:00:00+00,100,A,CHEF PREP MEALS COMMISSARY,,11091
116824,1714656,REGULAR,SNOW FRUIT @ KROGER L-356,,12501 SHELBYVILLE RD,,LOUISVILLE,KY,40243,FOOD SERVICE,2022/11/03 04:00:00+00,99,A,SNOW FRUIT @ KROGER L-356,,11092
